Attribute count,Type,Clothes,Ears,Mouth,Eyes,Hat,mint,rank
1,Solana,None,None,None,None,Angel Ring,HCSKtKZBZduqwZkHPHuziMq6Pm3GnELnLMX64DbWPV31,43
2,Solana,Brown Jacket,None,None,None,Pirate Bandana,AiK6cV5ZAY2WatuufNcKwikHbwQ4dHugrXVJNQtne3fA,44
2,Dark,Cop Vest,None,None,None,Space Warrior Hair,4pBvr1dTWz6BLMM2vm4sYA5zmPzN5DjgBKTUrjJnhBnD,45
3,Solana,Green Shirt,None,Mask,None,Blue Punk Hair,7kAw1yBJi11W1h7cNHW7pLmsJTD2mHF81icMnzijdV7i,46
1,Solana,Pirate Vest,None,None,None,None,J5YdgpDHbqSTV8UPZgTkz2TDo7hLHubDJFNYYfBit753,47
2,Orange,Orange Kimono,None,None,None,Space Warrior Hair,2Y34Vg5PZ3JmSBno58ENoZnYmVnT8YaRVbvkq5iDbs9r,48
2,Brown,Orange Kimono,None,None,None,Space Warrior Hair,ARA6zvFJZAydh6mdAgc7A6pMpZotCQj6eYugUMpEWKYh,49
4,Solana,White Shirt,Silver Earring,Cigarette,None,Firefighter Hat,ASZpMcUYqtN6wK2efUyY9PXfM9XLkDYUcPAaKrSSo42Y,50
5,Zombie,Biker Vest,Silver Earring,Cigarette,Yellow Glasses,Roman Helmet,G4YMXFo6BVCEvuMRH4qmqgHnUrwibyzqrNowN2FQc2Ha,51
4,Solana,Beige Smoking,Silver Earring,None,3d Glasses,Green Cap,B1qcogaGTsMwNrPQAZFiQfSiur4KQtBasKjANpqK4NG,52
2,Solana,Biker Vest,None,None,None,Green Top Hat,BhKXfEHk4AGCYnYG5tMr3Y3WnN73D6hLMHfv6U9dap8S,53
2,Brown,Green Smoking,None,None,None,Space Warrior Hair,4H1BcVC2wzBEFwy4fjgZcg6nneQjycy3EFp6pMLJ2kk8,54
3,Solana,Purple Shirt,None,Vape,None,Green Top Hat,GeY3YURERVhB76ShtR5xmtjPN77wajzDCqMi7YX12BfJ,55
3,Purple,Blue Shirt,Silver Earring,None,None,Space Warrior Hair,3bVSm2BDe3PDJBv3MhzMLrBhiVMurx15FDwKLHMwpicC,56
3,Solana,Brown Jacket,Gold Earring,None,None,Green Beret,CqZt3NtHTCMDUFGeZ9VUhEkKsWn5gvtfJT2sbMpu6f5g,57
